time,protocol,node,outcome,terms,beta
time_1,Lira,Lira,Lira_1,insulin_one_0,-1.15256435708812
time_1,Lira,outcome,primary.outcome_2,(Intercept),0
time_1,Lira,outcome,primary.outcome_2,sexMale,0.0342510782403775
time_1,Lira,outcome,primary.outcome_2,age60-80,-0.00385080603883265
time_1,Lira,outcome,primary.outcome_2,age80-90,0.109468478333525
time_1,Lira,outcome,primary.outcome_2,diabetesdurationgroup1-5 years,-0.011060481730944
time_1,Lira,outcome,primary.outcome_2,diabetesdurationgroup5-10 years,0.00370830815137747
time_1,Lira,outcome,primary.outcome_2,diabetesdurationgroup10-15 years,0.0159929483536079
time_1,Lira,outcome,primary.outcome_2,diabetesdurationgroup15-20 years,0.0229781655347381
time_1,Lira,outcome,primary.outcome_2,diabetesdurationgroupmore than 20 years,0.0166162369217638
time_1,Lira,outcome,primary.outcome_2,ethnicNOT HISPANIC OR LATINO,-0.014010707739984
time_1,Lira,outcome,primary.outcome_2,egfr.baseline,-0.000590581500554831
time_1,Lira,outcome,primary.outcome_2,bmi.baseline>30 kg/m2,-0.00162832917544443
time_1,Lira,outcome,primary.outcome_2,mineralcorYes,0.0175926754159813
time_1,Lira,outcome,primary.outcome_2,bbYes,0.0257154870330593
time_1,Lira,outcome,primary.outcome_2,rasiYes,0.000908875301799265
time_1,Lira,outcome,primary.outcome_2,loopYes,0.0343580592124868
time_1,Lira,outcome,primary.outcome_2,ccbYes,-0.000179166256140367
time_1,Lira,outcome,primary.outcome_2,thiazideYes,0.00698584120937753
time_1,Lira,outcome,primary.outcome_2,sasidYes,0.0838842724436094
time_1,Lira,outcome,primary.outcome_2,statinYes,-0.0207128754533236
time_1,Lira,outcome,primary.outcome_2,hypertensionYes,0.00876494199780934
time_1,Lira,outcome,primary.outcome_2,diabetic.nephropathyYes,-0.0095109482947848
time_1,Lira,outcome,primary.outcome_2,stenosisYes,0.0191010543554862
time_1,Lira,outcome,primary.outcome_2,disorders.of.rhythm.or.conductionYes,-0.00213434702161652
time_1,Lira,outcome,primary.outcome_2,left.ventricular.systolic.dysfunctionYes,0.0318263162823222
time_1,Lira,outcome,primary.outcome_2,gallstone.diseaseYes,0.0169711504064564
time_1,Lira,outcome,primary.outcome_2,pancreatitisYes,-0.0118957053115792
time_1,Lira,outcome,primary.outcome_2,diabetic.foot.ulcerYes,0.060714294673868
time_1,Lira,outcome,primary.outcome_2,diabetic.neuropathyYes,0.00439513609693817
time_1,Lira,outcome,primary.outcome_2,transient.ischaemic.attackYes,0.0283083449238101
time_1,Lira,outcome,primary.outcome_2,hba1c_level_0,0
time_1,Lira,outcome,primary.outcome_2,hba1c_level_1,0.0143650720650332
time_1,Lira,outcome,primary.outcome_2,hba1c_change_0,-0.00695884261319271
time_1,Lira,outcome,primary.outcome_2,hba1c_change_1,0.00252084551185633
time_1,Lira,outcome,primary.outcome_2,heart.failure_0Acute,0
time_1,Lira,outcome,primary.outcome_2,heart.failure_0Chronic,0.00801584158392457
time_1,Lira,outcome,primary.outcome_2,heart.failure_1Acute,0.431611885593228
time_1,Lira,outcome,primary.outcome_2,heart.failure_1Chronic,0
time_1,Lira,outcome,primary.outcome_2,Lira_01,0.000100836460088075
time_1,Lira,outcome,primary.outcome_2,Lira_11,-0.0388453546255484
time_1,Lira,outcome,primary.outcome_2,Placebo_11,0.148872307114117
time_1,Lira,outcome,primary.outcome_2,nausea.and.vomiting.symptoms_0,-0.0121471398842805
time_1,Lira,outcome,primary.outcome_2,nausea.and.vomiting.symptoms_1,-0.00622600053193226
time_1,Lira,outcome,primary.outcome_2,atrial.fibrillation_0,-0.207299703545353
time_1,Lira,outcome,primary.outcome_2,atrial.fibrillation_1,0.0923024302990107
time_1,Lira,outcome,primary.outcome_2,diarrhoea_0,-0.0683672418187769
time_1,Lira,outcome,primary.outcome_2,diarrhoea_1,-0.00604763751630985
time_1,Lira,outcome,primary.outcome_2,metformin_0,-0.0248079832470819
time_1,Lira,outcome,primary.outcome_2,metformin_1,-0.0105741597534033
time_1,Lira,outcome,primary.outcome_2,sulfonylurea_0,-0.000564455197107564
time_1,Lira,outcome,primary.outcome_2,sulfonylurea_1,0.0156236844094627
time_1,Lira,outcome,primary.outcome_2,insulin_0,-0.032125375687911
time_1,Lira,outcome,primary.outcome_2,insulin_1,0.0160326890753006
time_1,Lira,outcome,primary.outcome_2,alfa_g_inhib_1,-0.0190329148160411
time_1,Lira,outcome,primary.outcome_2,thiazo_0,-0.110243205803704
time_1,Lira,outcome,primary.outcome_2,thiazo_1,-0.0401294813135299
time_1,Lira,outcome,primary.outcome_2,insulin_one_0,0.0459762556247021
time_1,Lira,outcome,primary.outcome_2,insulin_one_1,0.00943028674030809
time_1,Lira,outcome,primary.outcome_2,dpp4_1,-0.0754529144626546
time_1,Placebo,outcome,primary.outcome_2,(Intercept),0
time_1,Placebo,outcome,primary.outcome_2,sexMale,0.0343424650286392
time_1,Placebo,outcome,primary.outcome_2,age60-80,0.00152681855628774
time_1,Placebo,outcome,primary.outcome_2,age80-90,0.169387483322717
time_1,Placebo,outcome,primary.outcome_2,diabetesdurationgroup1-5 years,0.00657471867682581
time_1,Placebo,outcome,primary.outcome_2,diabetesdurationgroup5-10 years,0.020415859470505
time_1,Placebo,outcome,primary.outcome_2,diabetesdurationgroup10-15 years,0.0306971556832029
time_1,Placebo,outcome,primary.outcome_2,diabetesdurationgroup15-20 years,0.0360724733671992
time_1,Placebo,outcome,primary.outcome_2,diabetesdurationgroupmore than 20 years,0.0308412997659985
time_1,Placebo,outcome,primary.outcome_2,ethnicNOT HISPANIC OR LATINO,-0.00938630663039653
time_1,Placebo,outcome,primary.outcome_2,egfr.baseline,-0.000672614428910287
time_1,Placebo,outcome,primary.outcome_2,bmi.baseline>30 kg/m2,-0.00150031372188476
time_1,Placebo,outcome,primary.outcome_2,mineralcorYes,0.0176858945461559
time_1,Placebo,outcome,primary.outcome_2,bbYes,0.0231279306624043
time_1,Placebo,outcome,primary.outcome_2,rasiYes,0.00438084737233791
time_1,Placebo,outcome,primary.outcome_2,loopYes,0.0343509064210748
